epoch,accuracy,loss,val_accuracy,val_loss
0,0.7307629585266113,0.7954123616218567,0.6764037609100342,1.271105170249939
1,0.8604707717895508,0.41213715076446533,0.5355404019355774,1.9392280578613281
2,0.8977272510528564,0.29790759086608887,0.5644271373748779,2.608513116836548
3,0.918668806552887,0.2432466447353363,0.7997403144836426,0.5890229940414429
4,0.93003249168396,0.1987151950597763,0.9139889478683472,0.23015137016773224
5,0.9421266317367554,0.17250218987464905,0.5670236945152283,2.729379653930664
6,0.9502435326576233,0.14851902425289154,0.8915936350822449,0.32200929522514343
7,0.9571428298950195,0.1310192346572876,0.7650113701820374,0.7548233866691589
8,0.9589285850524902,0.12353125959634781,0.6660175323486328,1.254966139793396
9,0.9624188542366028,0.11641762405633926,0.8701720237731934,0.5723826885223389
10,0.9818993210792542,0.06112723425030708,0.8367413282394409,0.5181378722190857
11,0.9848214387893677,0.047438956797122955,0.9824731945991516,0.05374057963490486
12,0.9857954382896423,0.0436180904507637,0.9383317232131958,0.1673850566148758
13,0.9860389828681946,0.04176851361989975,0.9685167074203491,0.09309596568346024
14,0.9873376488685608,0.042992692440748215,0.9185329675674438,0.36082160472869873
15,0.9884740114212036,0.03362349048256874,0.9581304788589478,0.14553894102573395
16,0.9868506789207458,0.04015055671334267,0.980201244354248,0.05205788090825081
17,0.9943181872367859,0.019045723602175713,0.9789029359817505,0.05251630023121834
18,0.9939123392105103,0.019328448921442032,0.9798766374588013,0.06290200352668762
19,0.9954545497894287,0.01568349450826645,0.9879909157752991,0.03481661528348923
20,0.9951298832893372,0.01794157177209854,0.980201244354248,0.05017853528261185
21,0.9958603978157043,0.013322101905941963,0.9789029359817505,0.06859772652387619
22,0.9947240352630615,0.016009891405701637,0.9626744389533997,0.1309671550989151
23,0.994967520236969,0.0155655387789011,0.9419019818305969,0.1725829392671585
24,0.9941558241844177,0.0177613515406847,0.9889646172523499,0.030941041186451912
25,0.9967532753944397,0.01173294149339199,0.9178838133811951,0.4121221601963043
26,0.9965909123420715,0.013013445772230625,0.9162609577178955,0.3143133521080017
27,0.9956980347633362,0.013129642233252525,0.9594287276268005,0.16334755718708038
28,0.9970779418945312,0.010638892650604248,0.9879909157752991,0.03484320640563965
29,0.9970779418945312,0.009591972455382347,0.9899383187294006,0.029941044747829437
30,0.9977272748947144,0.007061178795993328,0.9918857216835022,0.02921576052904129
31,0.9945616722106934,0.01370912790298462,0.9827978014945984,0.061149999499320984
32,0.9969155788421631,0.009212697856128216,0.9866926074028015,0.04102293401956558
33,0.9970779418945312,0.009477409534156322,0.9740344285964966,0.1010810062289238
34,0.996834397315979,0.010378984734416008,0.9837715029716492,0.06567035615444183
35,0.9957792162895203,0.012199759483337402,0.9792275428771973,0.06396178901195526
36,0.9986201524734497,0.005003046710044146,0.9886400699615479,0.03786459192633629
37,0.9989448189735413,0.004195116925984621,0.9931840300559998,0.02602369338274002
38,0.9986201524734497,0.0054826210252940655,0.9928594827651978,0.020277636125683784
39,0.9986201524734497,0.004935965407639742,0.9915611743927002,0.029755257070064545
40,0.9988636374473572,0.004550323821604252,0.9795520901679993,0.0660400390625
41,0.9986201524734497,0.004323940258473158,0.9899383187294006,0.028955070301890373
42,0.9983766078948975,0.006932075135409832,0.9935085773468018,0.024353358894586563
43,0.998701274394989,0.004458491690456867,0.9883154630661011,0.03467036038637161
44,0.9982954263687134,0.005299411714076996,0.9879909157752991,0.03424615412950516
45,0.9993506669998169,0.0023683321196585894,0.9918857216835022,0.029377365484833717
46,0.9988636374473572,0.003580567194148898,0.9899383187294006,0.03164165839552879
47,0.9991883039474487,0.003390783676877618,0.9905874729156494,0.03485279157757759
48,0.9991883039474487,0.002863288624212146,0.992210328578949,0.02346169389784336
49,0.9994317889213562,0.0021099464502185583,0.9918857216835022,0.02109706401824951
