epoch,accuracy,loss,val_accuracy,val_loss
0,0.7624577879905701,0.6039587259292603,0.24262847006320953,3.1563689708709717
1,0.8733108043670654,0.3302060067653656,0.5155854821205139,1.672291874885559
2,0.9151182174682617,0.2337328940629959,0.8879528045654297,0.41578635573387146
3,0.9429898858070374,0.17015540599822998,0.8096040487289429,0.6860930323600769
4,0.9575591087341309,0.1258452832698822,0.9292333722114563,0.21909929811954498
5,0.9626266956329346,0.1116974800825119,0.9064869284629822,0.2748008966445923
6,0.9598817825317383,0.11082831025123596,0.7000842690467834,1.939357042312622
7,0.9662162065505981,0.10215800255537033,0.9915754199028015,0.03696221485733986
8,0.9702280163764954,0.09120429307222366,0.9671440720558167,0.07963380217552185
9,0.9727618098258972,0.081003338098526,0.8887952566146851,0.326964795589447
10,0.9826858043670654,0.05032643675804138,0.9983150959014893,0.014559309929609299
11,0.9799408912658691,0.06323359906673431,0.9401853680610657,0.19684354960918427
12,0.9873310923576355,0.0411347858607769,0.9797809720039368,0.05534205958247185
13,0.986275315284729,0.045535482466220856,0.8281381726264954,0.6165518760681152
14,0.9780405163764954,0.06900833547115326,0.9351305961608887,0.18097569048404694
15,0.9795185923576355,0.058433521538972855,0.9764111042022705,0.08528267592191696
16,0.9942989945411682,0.023201903328299522,1.0,0.0029114438220858574
17,0.9957770109176636,0.01639663614332676,1.0,0.003639447735622525
18,0.9961993098258972,0.012800508178770542,1.0,0.002330821705982089
19,0.9957770109176636,0.01491603348404169,1.0,0.002236497588455677
20,0.9957770109176636,0.013177607208490372,0.9797809720039368,0.040400005877017975
21,0.9949324131011963,0.01679340749979019,1.0,0.0044640894047915936
22,0.9976773858070374,0.0109004657715559,1.0,0.0007743416936136782
23,0.9978885054588318,0.006684558931738138,1.0,0.0004019679909106344
24,0.9976773858070374,0.009512086398899555,1.0,0.0005148049676790833
25,0.9968327879905701,0.010543524287641048,1.0,0.0014957584207877517
26,0.9974662065505981,0.00901554524898529,1.0,0.0011067608138546348
27,0.9976773858070374,0.006476696580648422,1.0,0.0003286589926574379
28,0.9985219836235046,0.004955838434398174,1.0,0.0003975141735281795
29,0.9993665814399719,0.0033782864920794964,1.0,0.00024469816708005965
30,0.9989442825317383,0.003994889557361603,1.0,0.0002687851956579834
31,0.9993665814399719,0.003725373651832342,1.0,0.00022367936617229134
32,0.9991554021835327,0.004472385626286268,1.0,0.00014024127449374646
33,0.9983108043670654,0.004003016743808985,1.0,0.00015831153723411262
34,0.9989442825317383,0.0033059129491448402,1.0,0.00018649898993317038
35,0.9987331032752991,0.003356000641360879,1.0,0.0003369334735907614
36,0.9991554021835327,0.00295508885756135,1.0,0.00011132951476611197
37,0.9993665814399719,0.002210087375715375,1.0,0.00010436779848532751
38,0.9997888803482056,0.0024060881696641445,1.0,0.00011604034807533026
39,0.9995777010917664,0.0016521414509043097,1.0,0.00011633705435087904
40,0.9995777010917664,0.002245452022179961,1.0,0.00010739498975453898
41,0.9995777010917664,0.0030551408417522907,1.0,0.00010519609350012615
42,0.9995777010917664,0.002352347131818533,1.0,0.00010010234836954623
43,0.9995777010917664,0.0015407416503876448,1.0,9.321769903181121e-05
44,0.9997888803482056,0.0013675022637471557,1.0,9.81820048764348e-05
45,0.9987331032752991,0.003000559750944376,1.0,0.00010102932719746605
46,0.9993665814399719,0.0017554804217070341,1.0,8.212494140025228e-05
47,0.9995777010917664,0.0016806013882160187,1.0,9.218903142027557e-05
48,0.9995777010917664,0.002100519137457013,1.0,9.201659850077704e-05
49,0.9995777010917664,0.0021007137838751078,1.0,8.788122067926452e-05
